stu_id,gender,grade,activity_start,activity_end,type_name
2,Male,67,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment
2,Male,62,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment
2,Male,54,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment
2,Male,56,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment
2,Male,93,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment
2,Male,67,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment
2,Male,62,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment
2,Male,54,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment
2,Male,56,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment
2,Male,93,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment
2,Male,67,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment
2,Male,62,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment
2,Male,54,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment
2,Male,56,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment
2,Male,93,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment
2,Male,67,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment
2,Male,62,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment
2,Male,54,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment
2,Male,56,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment
2,Male,93,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment
2,Male,67,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment
2,Male,62,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment
2,Male,54,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment
2,Male,56,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment
2,Male,93,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment
2,Male,67,2025-04-22 23:25:54,2025-04-22 23:43:54,Group Assignment
2,Male,62,2025-04-22 23:25:54,2025-04-22 23:43:54,Group Assignment
2,Male,54,2025-04-22 23:25:54,2025-04-22 23:43:54,Group Assignment
