stu_id,gender,age,course_id,grade,activity_start,activity_end,activity_type,activity_description
2,Male,23.0,5,67,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment,Course 1 - Job
2,Male,23.0,4,62,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment,Course 1 - Job
2,Male,23.0,3,54,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment,Course 1 - Job
2,Male,23.0,2,56,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment,Course 1 - Job
2,Male,23.0,1,93,2025-04-24 14:27:51,2025-04-24 14:35:51,Individual Assignment,Course 1 - Job
2,Male,23.0,5,67,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment,Course 1 - Job
2,Male,23.0,4,62,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment,Course 1 - Job
2,Male,23.0,3,54,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment,Course 1 - Job
2,Male,23.0,2,56,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment,Course 1 - Job
2,Male,23.0,1,93,2025-04-24 14:33:51,2025-04-24 15:03:51,Individual Assignment,Course 1 - Job
2,Male,23.0,5,67,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment,Course 1 - Century
2,Male,23.0,4,62,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment,Course 1 - Century
2,Male,23.0,3,54,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment,Course 1 - Century
2,Male,23.0,2,56,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment,Course 1 - Century
2,Male,23.0,1,93,2025-05-04 00:23:00,2025-05-04 00:40:00,Individual Assignment,Course 1 - Century
2,Male,23.0,5,67,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment,Course 1 - Century
2,Male,23.0,4,62,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment,Course 1 - Century
2,Male,23.0,3,54,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment,Course 1 - Century
2,Male,23.0,2,56,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment,Course 1 - Century
2,Male,23.0,1,93,2025-05-04 00:17:00,2025-05-04 00:46:00,Individual Assignment,Course 1 - Century
2,Male,23.0,5,67,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment,Course 1 - Summer
2,Male,23.0,4,62,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment,Course 1 - Summer
2,Male,23.0,3,54,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment,Course 1 - Summer
2,Male,23.0,2,56,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment,Course 1 - Summer
2,Male,23.0,1,93,2025-04-22 23:35:54,2025-04-22 23:41:54,Group Assignment,Course 1 - Summer
2,Male,23.0,5,67,2025-04-22 23:25:54,2025-04-22 23:43:54,Group Assignment,Course 1 - Summer
2,Male,23.0,4,62,2025-04-22 23:25:54,2025-04-22 23:43:54,Group Assignment,Course 1 - Summer
2,Male,23.0,3,54,2025-04-22 23:25:54,2025-04-22 23:43:54,Group Assignment,Course 1 - Summer
2,Male,23.0,2,56,2025-04-22 23:25:54,2025-04-22 23:43:54,Group Assignment,Course 1 - Summer
2,Male,23.0,1,93,2025-04-22 23:25:54,2025-04-22 23:43:54,Group Assignment,Course 1 - Summer
2,Male,23.0,5,67,2025-04-28 08:27:42,2025-04-28 08:57:42,Quiz,Course 2 - Ahead
2,Male,23.0,4,62,2025-04-28 08:27:42,2025-04-28 08:57:42,Quiz,Course 2 - Ahead
2,Male,23.0,3,54,2025-04-28 08:27:42,2025-04-28 08:57:42,Quiz,Course 2 - Ahead
2,Male,23.0,2,56,2025-04-28 08:27:42,2025-04-28 08:57:42,Quiz,Course 2 - Ahead
2,Male,23.0,1,93,2025-04-28 08:27:42,2025-04-28 08:57:42,Quiz,Course 2 - Ahead
2,Male,23.0,5,67,2025-04-28 08:26:42,2025-04-28 08:45:42,Quiz,Course 2 - Ahead
