"stu_id","course_id","gender","age","total_activities","total_duration","activity_type","grade"
1,2,0,"23","1","10.00","Forum",80
2,1,1,"23","3","108.00","Group Assignment",93
2,2,1,"23","3","74.00","Group Assignment",56
2,3,1,"23","3","65.00","Group Assignment",54
2,4,1,"23","3","109.00","Group Assignment",62
2,5,1,"23","3","78.00","Group Assignment",67
3,1,1,"22","2","61.00","Group Assignment",79
3,2,1,"22","1","49.00","Group Assignment",81
3,3,1,"22","2","52.00","Group Assignment",84
3,4,1,"22","2","37.00","Group Assignment",91
3,5,1,"22","1","14.00","Group Assignment",82
4,1,1,"21","3","99.00","Group Assignment",97
4,2,1,"21","2","48.00","Group Assignment",75
4,3,1,"21","3","61.00","Group Assignment",88
4,5,1,"21","1","49.00","Group Assignment",82
5,1,1,"25","3","104.00","Group Assignment",60
5,2,1,"25","3","77.00","Group Assignment",98
5,3,1,"25","3","145.00","Group Assignment",97
5,4,1,"25","3","82.00","Group Assignment",97
5,5,1,"25","3","90.00","Group Assignment",56
6,1,1,"21","3","44.00","Group Assignment",83
6,2,1,"21","3","113.00","Group Assignment",83
6,3,1,"21","3","143.00","Group Assignment",82
6,4,1,"21","3","45.00","Group Assignment",88
6,5,1,"21","3","123.00","Group Assignment",96
7,1,0,"25","3","67.00","Group Assignment",73
7,2,0,"25","3","49.00","Group Assignment",76
7,3,0,"25","3","86.00","Group Assignment",87
7,4,0,"25","3","80.00","Group Assignment",88
7,5,0,"25","3","91.00","Group Assignment",67
8,1,1,"25","3","163.00","Group Assignment",71
8,2,1,"25","3","96.00","Group Assignment",54
8,3,1,"25","3","135.00","Group Assignment",60
8,4,1,"25","3","104.00","Group Assignment",52
8,5,1,"25","3","103.00","Group Assignment",57
9,1,0,"24","3","108.00","Group Assignment",52
9,2,0,"24","3","111.00","Group Assignment",74
9,3,0,"24","3","111.00","Group Assignment",71
9,4,0,"24","3","124.00","Group Assignment",66
9,5,0,"24","3","78.00","Group Assignment",86
10,1,0,"21","3","60.00","Group Assignment",66
10,2,0,"21","3","78.00","Group Assignment",71
10,3,0,"21","3","139.00","Group Assignment",84
10,4,0,"21","3","140.00","Group Assignment",69
10,5,0,"21","3","100.00","Group Assignment",93
11,1,0,"23","3","91.00","Group Assignment",75
11,2,0,"23","3","87.00","Group Assignment",82
11,3,0,"23","3","71.00","Group Assignment",66
11,4,0,"23","3","109.00","Group Assignment",87
11,5,0,"23","3","92.00","Group Assignment",75
12,1,0,"21","3","63.00","Group Assignment",88
12,2,0,"21","3","127.00","Group Assignment",66
12,3,0,"21","3","111.00","Group Assignment",88
12,4,0,"21","3","118.00","Group Assignment",58
12,5,0,"21","3","98.00","Group Assignment",75
13,1,0,"20","3","67.00","Group Assignment",59
13,2,0,"20","3","127.00","Group Assignment",81
13,3,0,"20","3","106.00","Group Assignment",92
13,4,0,"20","3","64.00","Group Assignment",83
13,5,0,"20","3","160.00","Group Assignment",70
14,1,1,"19","2","51.00","Group Assignment",94
14,2,1,"19","3","115.00","Group Assignment",80
14,3,1,"19","2","67.00","Group Assignment",52
14,4,1,"19","1","41.00","Group Assignment",94
14,5,1,"19","2","52.00","Group Assignment",71
15,1,1,"23","3","60.00","Individual Assignment",85
15,2,1,"23","3","108.00","Individual Assignment",64
15,3,1,"23","3","115.00","Individual Assignment",68
15,4,1,"23","3","140.00","Individual Assignment",84
15,5,1,"23","3","107.00","Individual Assignment",93
16,1,1,"20","3","82.00","Group Assignment",83
16,2,1,"20","3","135.00","Group Assignment",85
16,3,1,"20","3","123.00","Group Assignment",92
16,4,1,"20","3","68.00","Group Assignment",77
16,5,1,"20","3","80.00","Group Assignment",80
17,1,0,"20","3","118.00","Group Assignment",72
17,2,0,"20","3","120.00","Group Assignment",74
17,3,0,"20","3","71.00","Group Assignment",59
17,4,0,"20","3","142.00","Group Assignment",58
17,5,0,"20","3","88.00","Group Assignment",81
18,1,0,"24","3","76.00","Group Assignment",64
18,2,0,"24","3","130.00","Group Assignment",85
18,3,0,"24","3","134.00","Group Assignment",65
18,4,0,"24","3","101.00","Group Assignment",70
18,5,0,"24","3","82.00","Group Assignment",64
19,1,0,"20","3","95.00","Group Assignment",52
19,2,0,"20","3","101.00","Group Assignment",63
19,3,0,"20","3","80.00","Group Assignment",96
19,4,0,"20","3","93.00","Group Assignment",61
19,5,0,"20","3","93.00","Group Assignment",83
20,1,0,"20","3","82.00","Group Assignment",69
20,2,0,"20","3","90.00","Group Assignment",74
20,3,0,"20","3","136.00","Group Assignment",83
20,4,0,"20","3","125.00","Group Assignment",88
