iter	F1	Logloss
0	0.6438968515	0.6814538275
1	0.6250546015	0.6698251471
2	0.7072381747	0.656828079
3	0.6554167224	0.650781742
4	0.6883409043	0.6410381179
5	0.6812282123	0.6332123862
6	0.6899774702	0.6264077223
7	0.7107321738	0.6179218517
8	0.721594193	0.6106039729
9	0.7007670486	0.6064179654
10	0.7143689179	0.5977064409
11	0.7167445313	0.5932696406
12	0.731154543	0.589095735
13	0.7287012051	0.5816892342
14	0.7299258126	0.5747964729
15	0.7356928343	0.5722299769
16	0.7332524294	0.5668025957
17	0.7320382882	0.5643610271
18	0.7296220286	0.5608945134
19	0.7344706047	0.5557963208
20	0.7356928343	0.553466976
21	0.7356928343	0.551969534
22	0.7393840526	0.5477097548
23	0.750000002	0.54396491
24	0.7487516766	0.5408653528
25	0.7580299806	0.5340148623
26	0.7580299806	0.5302283518
27	0.7580299806	0.5279157284
28	0.7646988117	0.5252057954
29	0.7891440521	0.52009477
30	0.7878716396	0.5169349561
31	0.7878716396	0.5129919011
32	0.7966805	0.5094593991
33	0.8089108169	0.5055884617
34	0.8089108169	0.5035120777
35	0.801566683	0.5012882341
36	0.8127638172	0.4984520881
37	0.8226254846	0.4966652752
38	0.8140563203	0.4945686936
39	0.83299799	0.4905986741
40	0.83429658	0.487825931
41	0.83299799	0.4849141826
42	0.83299799	0.4836673951
43	0.837408775	0.4797868882
44	0.8400000021	0.4766633797
45	0.8400000021	0.4749650755
46	0.8576887077	0.470217087
47	0.8495315518	0.4674232505
48	0.8439170509	0.4653700833
49	0.8495315518	0.46298235
50	0.8508441382	0.460438819
51	0.852160787	0.457759378
52	0.852160787	0.455550693
53	0.853481517	0.4543573817
54	0.8590080308	0.4520474168
55	0.8616588909	0.448418101
56	0.8629904658	0.4465252059
57	0.8629904658	0.4446399754
58	0.8656660005	0.4435904121
59	0.8656660005	0.4406034182
60	0.8737907948	0.4390446789
61	0.8697639584	0.4372711336
62	0.8697639584	0.436705302
63	0.8697639584	0.436150533
64	0.871102107	0.4340427047
65	0.871102107	0.432961199
66	0.871102107	0.4315558109
67	0.8724443794	0.4314513196
68	0.8724443794	0.4296733838
69	0.8791422291	0.4272313462
70	0.8697639584	0.4262226649
71	0.8697639584	0.4237977005
72	0.8764572256	0.4217632016
73	0.8764572256	0.4204817372
74	0.8751208647	0.4188941303
75	0.8791422291	0.4147015177
76	0.8764572256	0.4132321275
77	0.8751208647	0.4121513796
78	0.8751208647	0.4106335041
79	0.8804909095	0.4095292433
80	0.8777976741	0.4072756352
81	0.8777976741	0.4069208629
82	0.8817331528	0.4063175244
83	0.8817331528	0.404603376
84	0.8817331528	0.4023026681
85	0.880398673	0.4002289118
86	0.880398673	0.400019583
87	0.880398673	0.3993688371
88	0.892302014	0.3956095206
89	0.8857609763	0.3939611743
90	0.8871117741	0.3924114957
91	0.8871117741	0.3916763977
92	0.8857609763	0.3895977426
93	0.8857609763	0.3886182187
94	0.8857609763	0.3847104332
95	0.892302014	0.3838616093
96	0.892302014	0.3826977731
97	0.892302014	0.3800700905
98	0.892302014	0.3784064744
99	0.892302014	0.3770536854
100	0.892302014	0.3767979056
101	0.892302014	0.3760431398
102	0.8909533307	0.3745696721
103	0.8936547865	0.3726230552
104	0.892302014	0.3713919176
105	0.8987667027	0.3691565382
106	0.8974161645	0.3670504944
107	0.8974161645	0.3662846727
108	0.8987667027	0.3638983711
109	0.8987667027	0.3628675131
110	0.9001213119	0.3611750072
111	0.8987667027	0.3606328404
112	0.9065126836	0.3580948554
113	0.9001213119	0.3570778962
114	0.8987667027	0.3557893849
115	0.9078730664	0.3530899946
116	0.9065126836	0.3524872723
117	0.9092375383	0.3509134419
118	0.9092375383	0.3494636457
119	0.9092375383	0.3481896375
120	0.9092375383	0.3478406497
121	0.9119788236	0.3468494624
122	0.9161218852	0.3455017749
123	0.9189049027	0.3444475924
124	0.9266349466	0.342048583
125	0.9189049027	0.341658659
126	0.9161218852	0.3388716921
127	0.9175112835	0.336822003
128	0.9203027618	0.3349492334
129	0.9203027618	0.3348052092
130	0.9266349466	0.3342466898
131	0.9203027618	0.3326262357
132	0.9294461517	0.329427953
133	0.9294461517	0.3258782874
134	0.9342979925	0.3243332072
135	0.9418949075	0.322898844
136	0.9418949075	0.320394586
137	0.9433091641	0.3190163067
138	0.9418949075	0.3164973474
139	0.9418949075	0.31501717
140	0.9418949075	0.3138190648
141	0.9418949075	0.3126185838
142	0.9418949075	0.310874273
143	0.9433091641	0.3070213349
144	0.9433091641	0.3053846786
145	0.9461504567	0.300919277
146	0.9504446341	0.2975503311
147	0.9490089172	0.2961867616
148	0.9504446341	0.2941496982
149	0.9490089172	0.2921862204
150	0.9504446341	0.2902988107
151	0.9475775312	0.2880456958
152	0.9518847017	0.2866069308
153	0.9518847017	0.2845516706
154	0.9518847017	0.2835719438
155	0.9504446341	0.2823186159
156	0.9518847017	0.2799515739
157	0.9518847017	0.2771821564
158	0.9518847017	0.2758653661
159	0.9518847017	0.2749766775
160	0.9518847017	0.2721659519
161	0.9533291398	0.2711514611
162	0.9504446341	0.2701710673
163	0.9504446341	0.2685993986
164	0.9518847017	0.2671561477
165	0.9504446341	0.2658570274
166	0.9504446341	0.2644914253
167	0.9547779682	0.262472251
168	0.9547779682	0.261538715
169	0.9547779682	0.2597036207
170	0.9562312071	0.2581884208
171	0.9638144529	0.2566900544
172	0.9591509969	0.2549548982
173	0.9623560682	0.253209793
174	0.9623560682	0.2509878703
175	0.9623560682	0.2494290065
176	0.9652772645	0.247269339
177	0.9652772645	0.2460716446
178	0.9652772645	0.2445195526
179	0.9652772645	0.2433894616
180	0.9652772645	0.2422362247
181	0.9652772645	0.2403615312
182	0.9652772645	0.2390623151
183	0.9652772645	0.2376163635
184	0.9713318376	0.2359114549
185	0.972799647	0.2342929808
186	0.9742718992	0.2327817149
187	0.9742718992	0.2313481387
188	0.972799647	0.2296025307
189	0.9742718992	0.2278567721
190	0.9757486144	0.2261138874
191	0.9757486144	0.2235303441
192	0.9757486144	0.2219914551
193	0.9757486144	0.2208105085
194	0.9757486144	0.2198608958
195	0.9757486144	0.2194833882
196	0.9757486144	0.2183761146
197	0.977229813	0.2168345432
198	0.977229813	0.2160606707
199	0.977229813	0.2150686636
200	0.977229813	0.2140360789
201	0.977229813	0.2133747133
202	0.977229813	0.2122199559
203	0.977229813	0.2108621855
204	0.977229813	0.2101540643
205	0.9787155153	0.2085189503
206	0.9787155153	0.2071936718
207	0.977229813	0.2056511061
208	0.977229813	0.2041949734
209	0.9787155153	0.2029854601
210	0.9787155153	0.2006727858
211	0.9787155153	0.1999732851
212	0.9787155153	0.1980973082
213	0.9787155153	0.1964120918
214	0.9787155153	0.1959538603
215	0.9787155153	0.1951298297
216	0.9787155153	0.194078981
217	0.980205742	0.1930600598
